prod_name,prod_size,prod_infl_aug,prod_infl_jul,prod_infl_change_aug,prod_infl_change_jul,prod_scat,prod_cat,prod_id,prod_sum
Bauchfleisch,0.04,115.40,114.30,1.00,44693.00,1,1,3500,0
Schopfbraten,0.08,109.10,108.60,0.50,44628.00,1,1,3600,0
Schweinsschnitzel,0.12,112.80,110.70,44805.00,44816.00,1,1,3700,0
Schweinslungenbraten,0.11,116.30,115.00,44562.00,44756.00,1,1,3800,0
Brathuhn,0.09,123.90,122.20,44652.00,16.00,1,1,4700,0
Putenbrustfleisch,0.11,117.70,117.40,0.30,44579.00,1,1,4800,0
Hühnerfleisch paniert. tiefgekühlt,0.04,124.90,122.80,44743.00,44617.00,1,1,4900,0
Hühnerfilet,0.17,124.60,122.50,44743.00,44638.00,1,1,5000,0
Selchfleisch,0.05,115.70,114.60,1.00,44636.00,1,1,2700,0
Speck,0.11,114.80,115.00,-0.20,13.00,1,1,2800,0
Würstel,0.21,110.70,109.90,0.70,44572.00,1,1,4000,0
Dauerhartwurst,0.10,113.50,114.00,-0.40,44784.00,1,1,4100,0
Schinken vom Schwein,0.23,113.90,112.60,44593.00,44633.00,1,1,4200,0
Truthahnextrawurst,0.06,128.40,133.00,-3.50,44670.00,1,1,4300,0
Extrawurst,0.14,118.10,120.70,-2.20,44607.00,1,1,4400,0
Salami,0.10,113.50,114.30,-0.70,44752.00,1,1,4600,0
Faschiertes,0.14,128.70,125.60,44683.00,44612.00,1,1,2600,0
Leberaufstrich,0.05,114.40,115.30,-0.80,44635.00,1,1,2900,0
Rindsgulaschkonserve,0.04,121.40,120.20,1.00,44731.00,1,1,3000,0
Fisch,0.35,111.90,108.00,44715.00,44787.00,1,1,6,4
Frischer Fisch,0.10,104.30,101.50,44775.00,9.00,1,1,5400,0
Dorschfilet. tiefgekühlt,0.07,123.60,112.20,44602.00,44796.00,1,1,5200,0
Fischstäbchen. tiefgekühlt,0.06,130.00,125.70,44654.00,44768.00,1,1,5300,0
Räucherlachs,0.05,99.50,98.10,44652.00,44812.00,1,1,5500,0
Thunfisch,0.08,107.10,107.30,-0.20,44659.00,1,1,5100,0
Milch. Käse und Eier,1.55,117.50,115.90,44652.00,44700.00,1,1,7,4
Länger Frisch Milch,0.19,122.30,121.50,0.70,44703.00,1,1,5660,0
Frischmilch,0.05,125.80,124.00,44682.00,44704.00,1,1,5661,0
Kondensierte Milch,0.04,117.50,113.60,44654.00,44788.00,1,1,6100,0
Fruchtjoghurt,0.09,120.80,117.50,44775.00,44668.00,1,1,6200,0
Joghurt natur,0.09,112.00,110.80,44562.00,44820.00,1,1,6400,0
Speisetopfen,0.02,115.20,115.30,-0.10,44640.00,1,1,6000,0
Emmentaler,0.13,118.90,117.20,44682.00,44734.00,1,1,6600,0
Gouda,0.16,120.80,118.00,44653.00,44762.00,1,1,6700,0
Bergkäse,0.10,108.40,106.40,44805.00,44662.00,1,1,6800,0
Camembert,0.08,120.80,117.00,44595.00,19.00,1,1,6900,0
Frischkäse,0.06,121.20,121.20,0.00,44822.00,1,1,7100,0
Mozzarella,0.07,111.90,110.80,1.00,44638.00,1,1,7200,0
Milchmixgetränk,0.11,109.30,107.40,44774.00,44569.00,1,1,5700,0
Sauerrahm,0.06,119.30,118.80,0.40,44771.00,1,1,5800,0
Schlagobers,0.08,118.00,118.50,-0.40,44735.00,1,1,5900,0
Eier,0.21,120.10,119.00,0.90,44764.00,1,1,6500,0
Öle und Fette,0.35,130.20,124.20,44777.00,44591.00,1,1,8,4
Butter,0.16,136.10,131.40,44715.00,38.90,1,1,7300,0
Margarine,0.03,115.90,104.20,44603.00,44730.00,1,1,7400,0
Olivenöl,0.06,105.50,103.50,44805.00,44564.00,1,1,7800,0
Sortenreines Pflanzenöl,0.10,140.20,131.70,44687.00,35.60,1,1,7600,0
Obst,0.98,105.40,106.10,-0.70,44564.00,1,1,9,4
Mandarinen,0.04,100.00,100.70,-0.70,-3.80,1,1,8200,0
Erdbeeren,0.07,97.30,99.80,-2.50,-26.60,1,1,8400,0
Beeren (ohne Erdbeeren),0.05,102.60,103.10,-0.50,44628.00,1,1,8440,0
Äpfel,0.11,112.50,112.80,-0.30,44716.00,1,1,8500,0
Birnen,0.03,111.40,116.80,-4.60,44574.00,1,1,8600,0
Pfirsiche / Nektarinen,0.07,84.40,82.00,44806.00,-15.20,1,1,8800,0
Trauben,0.08,106.10,118.50,-10.50,44784.00,1,1,8900,0
Zucker-. Honigmelone,0.05,93.40,105.00,-11.00,44580.00,1,1,9000,0
Bananen,0.13,118.40,118.00,0.30,44578.00,1,1,9200,0
Kiwi,0.02,126.60,123.60,44653.00,44657.00,1,1,9300,0
Orangen,0.06,120.30,109.40,10.00,44654.00,1,1,9400,0
Zitronen,0.05,103.50,103.00,0.50,44657.00,1,1,9500,0
Avocado,0.03,95.20,90.60,44566.00,44623.00,1,1,10490,0
Nuss-. Trockenfruchtmischung,0.14,100.10,99.50,0.60,44743.00,1,1,7900,0
Erdnüsse geröstet / gesalzen,0.02,101.80,100.30,44682.00,44684.00,1,1,8000,0
Rosinen,0.04,92.30,92.20,0.10,-6.80,1,1,8100,0
Gemüse,1.25,117.10,116.70,0.30,44573.00,1,1,10,1
Champignons,0.04,116.20,111.30,44655.00,44637.00,1,1,10500,0
Gurken,0.06,110.80,114.90,-3.60,44753.00,1,1,10600,0
Karfiol,0.06,114.90,114.30,0.50,44782.00,1,1,10700,0
Karotten,0.06,111.80,114.10,-2.00,44748.00,1,1,10800,0
Grüner Blattsalat,0.10,116.70,116.10,0.50,44694.00,1,1,10900,0
Paprika,0.09,140.90,134.80,44685.00,44732.00,1,1,11000,0
Verpackter Salat,0.06,110.00,108.80,44562.00,44811.00,1,1,11220,0
Tomaten,0.19,120.00,122.90,-2.40,44632.00,1,1,11400,0
Zwiebeln,0.08,122.90,128.20,-4.10,44721.00,1,1,11700,0
Mischgemüse. tiefgekühlt,0.05,114.00,110.30,44654.00,44690.00,1,1,9900,0
Spinat. tiefgekühlt,0.03,119.30,114.40,44624.00,44578.00,1,1,10000,0
Delikatessgurken,0.18,116.10,114.70,44593.00,44691.00,1,1,9700,0
Pommes frites. tiefgekühlt,0.04,110.80,109.10,44713.00,44785.00,1,1,10100,0
Kartoffeln,0.13,107.80,107.10,0.70,44572.00,1,1,11800,0
Kartoffelchips,0.08,115.10,113.50,44652.00,44604.00,1,1,10200,0
Zucker. Marmelade. Honig. Schokolade und Süßwaren,0.77,104.90,103.50,44652.00,44656.00,1,1,11,1
Kristallzucker,0.05,101.70,100.20,44682.00,44805.00,1,1,13200,0
Pfirsichkonserve,0.03,108.10,106.20,44774.00,44571.00,1,1,12300,0
Marmelade / Konfitüre,0.03,101.70,100.90,0.80,44652.00,1,1,13000,0
Bienenhonig,0.02,105.10,104.30,0.80,44806.00,1,1,13100,0
Vollmilchschokolade,0.12,104.60,103.70,0.90,44745.00,1,1,12500,0
Bonbonniere/ Pralinen,0.14,110.50,109.50,0.90,44749.00,1,1,12550,0
Schokoriegel,0.03,102.80,100.20,44714.00,44684.00,1,1,12600,0
Kaugummi,0.09,102.80,102.50,0.30,44653.00,1,1,12700,0
Fruchtbonbons. -gummi,0.12,101.70,99.20,44683.00,44748.00,1,1,12800,0
Speiseeis. Familienpackung,0.13,106.60,104.20,44622.00,44659.00,1,1,12200,0
Nahrungsmittel. a.n.g.,0.50,108.30,107.40,0.80,44659.00,1,1,12,1
Senf,0.05,118.30,118.30,0.00,44701.00,1,1,13900,0
Tomatenketchup,0.06,113.70,112.60,1.00,44604.00,1,1,14000,0
Speiseessig,0.05,103.60,102.40,44593.00,44564.00,1,1,14100,0
Vollsalz,0.02,112.30,111.00,44593.00,44659.00,1,1,13700,0
Gewürzpaprika,0.07,103.70,103.70,0.00,44686.00,1,1,13800,0
Baby-Milchnahrung,0.07,112.10,110.20,44743.00,10.00,1,1,14103,0
Fertiggericht. gekühlt,0.13,100.30,99.70,0.60,44745.00,1,1,14101,0
Suppenpulver,0.05,112.70,110.70,44774.00,14.00,1,1,13400,0
Alkoholfreie Getränke,1.23,114.10,113.40,0.60,44575.00,1,2,13,3
Kaffee. Tee und Kakao,0.51,117.20,113.40,44654.00,44611.00,1,2,14,1
Bohnenkaffee,0.20,125.10,121.70,44775.00,44768.00,1,2,14300,0
Kaffeepads/-kapseln,0.15,112.30,109.00,3.00,44607.00,1,2,14301,0
Löslicher Kaffee,0.06,116.90,106.60,44751.00,44696.00,1,2,14302,0
Teebeutel,0.08,114.70,113.40,44562.00,44725.00,1,2,14200,0
Kakaohältiges Getränkepulver,0.02,111.50,107.60,44715.00,44753.00,1,2,14500,0
Mineralwasser. Erfrischungsgetränke und Saft,0.72,111.70,113.30,-1.40,44691.00,1,2,15,1
Mineral-. Tafelwasser,0.14,115.80,115.80,0.00,44636.00,1,2,14800,0
Aromatisiertes Mineralwasser,0.04,113.60,114.70,-1.00,44722.00,1,2,14600,0
Modegetränk / Energydrink,0.08,109.80,110.10,-0.30,44570.00,1,2,14700,0
Kohlensäurehältige Limonade,0.10,112.20,113.20,-0.90,44815.00,1,2,14900,0
Colagetränk,0.16,110.40,118.30,-6.70,8.00,1,2,15000,0
Orangensaft,0.11,110.10,108.90,44562.00,44689.00,1,2,15200,0
Apfelsaft,0.09,110.60,109.30,44593.00,44659.00,1,2,15300,0
ALKOHOLISCHE GETRÄNKE UND TABAK,3.41,107.30,107.30,0.00,44565.00,2,2,16,2
Alkoholische Getränke,1.55,106.20,106.40,-0.20,44716.00,2,3,17,3
Spirituosen,0.24,101.20,100.80,0.40,-1.70,2,3,18,1
Rum,0.07,100.20,101.00,-0.80,0.20,2,3,15400,0
Wodka,0.10,105.00,102.20,44744.00,44621.00,2,3,15500,0
Likör,0.07,94.70,96.70,-2.10,-7.40,2,3,15550,0
Wein,0.63,106.80,104.00,44744.00,44659.00,2,3,19,1
Rotwein,0.19,111.20,107.20,44745.00,44661.00,2,3,15700,0
Weißwein,0.31,107.90,105.00,44775.00,44627.00,2,3,15800,0
Sekt,0.13,97.00,95.70,44652.00,44780.00,2,3,16000,0
Bier,0.69,107.40,110.50,-2.80,44654.00,2,3,20,1
Dosenbier,0.27,106.80,110.20,-3.10,44808.00,2,3,16100,0
Spezialbier,0.04,106.80,111.80,-4.50,44622.00,2,3,16250,0
Flaschenbier,0.35,108.00,111.00,-2.70,44564.00,2,3,16300,0
Radler,0.03,99.90,101.20,-1.30,-4.80,2,3,16400,0
Tabak,1.86,107.80,107.70,0.10,44715.00,2,4,21,3
Tabakwaren,1.86,107.80,107.70,0.10,44715.00,2,4,22,1
Zigaretten,1.77,107.50,107.40,0.10,44654.00,2,4,16500,0
Tabak-Produkt,0.09,112.40,112.40,0.00,44598.00,2,4,22030,0
BEKLEIDUNG UND SCHUHE,4.62,90.00,93.40,-3.60,1.00,3,4,23,2
Bekleidung,3.67,89.10,92.30,-3.50,0.30,3,5,24,3
Bekleidungsstoffe,0.01,106.90,106.90,0.00,44617.00,3,5,25,1
Stoff,0.01,106.90,106.90,0.00,44617.00,3,5,26900,0
Bekleidungsartikel,3.41,88.00,91.60,-3.90,-0.10,3,5,26,1
Herren-Snowboardanzug,0.06,92.10,95.80,-3.90,0.50,3,5,29100,0
Herren-Jeans,0.13,96.40,96.60,-0.20,44717.00,3,5,29200,0
Herren-Anzug,0.05,99.20,103.90,-4.50,44716.00,3,5,29500,0
Herren-Hose,0.12,92.80,96.10,-3.40,-0.60,3,5,29600,0
Herren-Sakko,0.04,92.60,96.50,-4.00,44715.00,3,5,29700,0
Herren-Jacke,0.18,79.20,80.40,-1.50,-1.90,3,5,29800,0
Herren-Shirt,0.12,82.60,86.50,-4.50,-5.70,3,5,29900,0
Herren-Hemd,0.11,88.00,96.40,-8.70,0.90,3,5,30000,0
Herren-Socken,0.04,100.00,101.10,-1.10,0.00,3,5,30200,0
Herren-Unterhose,0.06,102.20,99.10,44564.00,5.00,3,5,30300,0
Herren-Pullover / Weste,0.10,90.90,88.90,44594.00,44809.00,3,5,30400,0
Herren-Sportbekleidung,0.08,86.60,91.20,-5.00,44563.00,3,5,30500,0
Damen-Sportbekleidung,0.09,86.80,91.70,-5.30,-4.10,3,5,27100,0
Damen-Kleid,0.11,81.50,85.10,-4.20,44747.00,3,5,27200,0
Damen-Hose,0.26,87.00,90.30,-3.70,-1.00,3,5,27400,0
Damen-Mantel,0.15,92.60,96.40,-3.90,44624.00,3,5,27500,0
Damen-Rock,0.06,83.00,86.30,-3.80,-2.60,3,5,27700,0
Damen-Jacke,0.15,82.50,84.60,-2.50,0.20,3,5,27900,0
Damen-Shirt,0.26,84.10,91.30,-7.90,-0.80,3,5,28000,0
Damen-Pullover,0.13,80.70,81.70,-1.20,44655.00,3,5,28100,0
Damen-Bluse,0.09,83.00,89.20,-7.00,-2.40,3,5,28200,0
Damen-Blazer,0.05,89.00,90.60,-1.80,44566.00,3,5,28300,0
Büstenhalter,0.09,100.20,103.30,-3.00,-0.30,3,5,28400,0
Damen-Strumpfhose,0.02,94.70,95.80,-1.10,-3.60,3,5,28500,0
Damen-Nachtwäsche,0.07,85.10,91.10,-6.60,44686.00,3,5,28600,0
Damen-Unterhose,0.07,96.30,96.10,0.20,-0.50,3,5,28700,0
Damen-Jeans,0.15,90.20,93.80,-3.80,-4.90,3,5,28800,0
Damen-Schianzug,0.08,93.90,97.70,-3.90,44654.00,3,5,28900,0
Damen-Bademode,0.02,99.70,109.20,-8.70,44623.00,3,5,29000,0
Unterhose für Buben,0.06,97.80,95.70,44594.00,44743.00,3,5,30801,0
Jeans für Buben,0.10,86.30,87.00,-0.80,-1.60,3,5,30802,0
T-Shirt für Mädchen,0.12,72.40,82.90,-12.70,-4.50,3,5,30803,0
Jacke für Mädchen,0.08,76.90,80.00,-3.90,,3,5,30804,0
Baby-Set,0.08,85.10,95.10,-10.50,-3.40,3,5,31900,0
Sonstige Bekleidungsartikel und Bekleidungszubehör,0.21,101.60,100.60,1.00,44566.00,3,5,27,1
Krawatte,0.02,103.00,103.50,-0.50,44603.00,3,5,32000,0
Gürtel mit Schnalle,0.05,104.30,104.30,0.00,44716.00,3,5,32100,0
Schal / Tuch,0.07,97.70,95.10,44744.00,44748.00,3,5,32110,0
Kopfbedeckung,0.04,98.20,101.60,-3.30,44805.00,3,5,32200,0
Strickwolle,0.03,109.40,103.90,44625.00,44596.00,3,5,32300,0
Reinigung und Reparatur von Bekleidung,0.05,107.70,107.60,0.10,44626.00,3,5,28,1
Waschen und Bügeln / Hemden,0.01,107.10,107.00,0.10,44568.00,3,5,32800,0
Chemische Reinigung,0.02,110.00,109.70,0.30,44568.00,3,5,32900,0
Änderungsschneiderei,0.02,105.70,105.60,0.10,44625.00,3,5,32600,0
Schuhe einschließlich Reparatur,0.95,94.40,98.30,-4.00,44715.00,3,6,29,3
Schuhe,0.94,94.30,98.30,-4.10,44715.00,3,6,30,1
Herren-Sportschuhe,0.08,98.20,103.10,-4.80,44713.00,3,6,33200,0
Herren-Pantoffel,0.02,107.40,106.40,0.90,44747.00,3,6,33201,0
Herren-Freizeitschuhe,0.17,92.90,97.90,-5.10,44562.00,3,6,33330,0
Herren-Halbschuhe,0.03,94.80,97.50,-2.80,44713.00,3,6,33400,0
Damen-Stiefeletten,0.14,89.20,93.00,-4.10,0.80,3,6,33100,0
Damen-Freizeitschuhe,0.21,92.30,98.10,-5.90,44624.00,3,6,33300,0
Damen-Halbschuhe,0.07,90.50,94.80,-4.50,44567.00,3,6,33600,0
Damen-Sportschuhe,0.06,99.00,102.40,-3.30,0.20,3,6,34100,0
Kinder-Halbschuhe,0.07,103.60,104.40,-0.80,44788.00,3,6,33900,0
Kinder-Sportfreizeitschuhe,0.09,97.40,98.80,-1.40,44625.00,3,6,34000,0
Reparatur von Schuhen,0.01,104.00,103.30,0.70,44683.00,3,6,31,1
Absatzreparatur,0.01,104.00,103.30,0.70,44683.00,3,6,34200,0
WOHNUNG. WASSER. ENERGIE,18.92,118.20,116.30,44713.00,44786.00,4,6,32,2
Gezahlte Wohnungsmieten,5.37,103.20,103.00,0.20,44774.00,4,7,33,3
Wohnungsmieten,5.37,103.20,103.00,0.20,44774.00,4,7,34,1
Wohnungsmiete. alle Kategorien,4.88,102.70,102.40,0.30,44682.00,4,7,34300,0
Neuvermietungen,0.49,105.20,106.30,-1.00,44597.00,4,7,34301,0
Instandhaltung und Reparatur der Wohnung,5.80,122.50,119.20,44775.00,44727.00,4,8,35,3
Material für die Instandhaltung und Reparatur der Wohnung,3.94,125.40,121.90,44806.00,44821.00,4,8,36,1
Spülbecken,0.17,110.90,109.60,44593.00,44660.00,4,8,34900,0
Fertigparkett,0.08,114.40,112.00,44563.00,44662.00,4,8,35000,0
Laminatboden,0.08,109.80,111.50,-1.50,44689.00,4,8,35100,0
Waschtischarmatur,0.15,104.70,105.30,-0.60,44684.00,4,8,35300,0
Ziegelstein,0.49,127.50,117.00,9.00,44829.00,4,8,35400,0
Hohlblocksteine,0.16,129.50,123.40,44808.00,44577.00,4,8,35500,0
Zement,0.43,113.30,108.60,44624.00,44818.00,4,8,35600,0
PVC-Kanalrohre,0.06,167.30,156.20,44568.00,50.70,4,8,35700,0
Gasbetonsteine,0.14,117.30,112.00,44746.00,44699.00,4,8,35800,0
Betondachsteine,0.16,120.80,118.80,44743.00,44694.00,4,8,35900,0
Hydratkalk,0.15,117.80,115.60,44805.00,44755.00,4,8,36000,0
Gebundene Faserdämmstoffe,0.37,146.00,136.20,44599.00,38.50,4,8,36100,0
Gipskartonplatte,0.26,109.80,104.80,44777.00,44632.00,4,8,36200,0
Isolierglaskippfenster,0.48,121.30,121.30,0.00,44638.00,4,8,36300,0
Lack,0.11,107.70,107.70,0.00,44565.00,4,8,36400,0
Dispersionsfarbe,0.13,114.30,114.30,0.00,44663.00,4,8,36500,0
Fliesen,0.17,119.60,119.60,0.00,44669.00,4,8,36600,0
Profilholz,0.36,176.30,183.90,-4.10,44724.00,4,8,36700,0
Dienstleistung für die Instandhaltung und Reparatur der Wohnung,1.86,116.30,113.60,44653.00,44752.00,4,8,37,1
Installateur (Gas / Wasser),0.21,109.50,108.70,0.70,44809.00,4,8,36800,0
Elektroinstallateur,0.13,107.80,107.80,0.00,5.00,4,8,37000,0
Jahreswartung. Gasheizung,0.08,109.50,106.20,44564.00,44687.00,4,8,36900,0
Malerarbeiten,0.13,109.60,109.50,0.10,44747.00,4,8,37100,0
Parkett verlegen,0.11,113.60,113.60,0.00,44690.00,4,8,37200,0
Zimmermannsarbeiten,0.19,148.10,139.90,44809.00,44740.00,4,8,37400,0
Maurerarbeiten. KV-Lohn,0.50,107.30,107.30,0.00,44596.00,4,8,37300,0
Zentralheizung,0.20,126.10,118.90,44567.00,44636.00,4,8,37500,0
Fenstereinbau,0.18,125.40,118.20,44567.00,44670.00,4,8,37600,0
Fliesenlegen,0.12,117.20,112.10,44685.00,44663.00,4,8,37700,0
Wasserversorgung und sonstige Dienstleistungen (Wohnung),3.71,105.10,104.50,0.60,44808.00,4,9,38,3
Wasserversorgung,0.19,107.30,107.20,0.10,44808.00,4,9,39,1
Wassergebühr. lfd. Kosten,0.15,107.20,107.20,0.00,44746.00,4,9,37800,0
Wassergebühr. Fixkosten,0.03,107.40,107.30,0.10,44686.00,4,9,37900,0
Müllabfuhr,0.18,104.00,104.00,0.00,44654.00,4,9,40,1
Müllabfuhr. Einfamilienhaus,0.18,104.00,104.00,0.00,44654.00,4,9,38000,0
Abwasserbeseitigung,0.39,104.70,104.10,0.60,44806.00,4,9,41,1
Kanalgebühr. Einfamilienhaus,0.39,104.70,104.10,0.60,44806.00,4,9,38100,0
Sonstige Dienstleistungen betr. Wohnung. a.n.g.,2.96,105.00,104.40,0.60,44566.00,4,9,42,1
Betriebskosten. Mietwohnung,2.12,106.20,105.70,0.50,44687.00,4,9,38300,0
Betriebskosten. Eigentumswohnung,0.73,101.60,100.70,0.90,44652.00,4,9,38400,0
Rauchfangkehrer. Einfamilienhaus,0.10,105.40,105.40,0.00,44624.00,4,9,38200,0
Elektrizität. Gas und andere Brennstoffe,4.05,147.50,143.40,44806.00,36.70,4,10,43,3
Elektrizität,2.05,120.20,116.10,44684.00,44815.00,4,10,44,1
Elektrischer Strom. Grund-. Zählergebühr,0.39,81.50,81.50,0.00,-20.90,4,10,38600,0
Elektrischer Strom. Arbeitspreis / Tag,1.55,129.10,124.00,44565.00,44760.00,4,10,38700,0
Elektrischer Strom. Arbeitspreis / Nacht,0.11,134.10,128.80,44565.00,44742.00,4,10,38800,0
Gas,0.66,183.70,179.70,44594.00,71.00,4,10,45,1
Gas. Grund-. Zählergebühr,0.05,103.00,103.00,0.00,-3.00,4,10,38900,0
Gas. Arbeitspreis,0.61,191.60,187.30,44622.00,78.20,4,10,39000,0
Flüssige Brennstoffe,0.39,251.20,256.00,-1.90,106.60,4,10,46,1
Heizöl extra leicht. Großabnahme,0.39,251.20,256.00,-1.90,106.60,4,10,39100,0
Feste Brennstoffe,0.39,174.30,160.20,44781.00,72.40,4,10,47,1
Holzpellets. Großabnahme,0.15,197.30,171.90,44787.00,99.90,4,10,39400,0
Brennholz,0.24,159.70,152.80,44685.00,56.10,4,10,39900,0
Wärmeenergie,0.56,122.40,120.50,44713.00,19.00,4,10,48,1
Fernheizung. Grundgebühr,0.10,105.20,103.70,44652.00,44777.00,4,10,40000,0
Fernheizung. Arbeitspreis,0.46,126.20,124.10,44743.00,44614.00,4,10,40100,0
HAUSRAT UND LFD. INSTANDHALTUNG DES HAUSES,6.49,110.90,110.10,0.70,44720.00,5,10,49,2
Einrichtungsgegenstände und Bodenbeläge,2.95,112.50,113.30,-0.70,44813.00,5,11,50,3
Möbel und andere Einrichtungsgegenstände,2.88,112.60,113.70,-1.00,44813.00,5,11,51,1
Arbeitsplatte / Küche,0.19,115.80,116.50,-0.60,44814.00,5,11,40200,0
Hochschrank für Kühlschrank,0.05,113.70,114.40,-0.60,44663.00,5,11,40300,0
Vorratsschrank,0.08,114.20,113.80,0.40,44573.00,5,11,40400,0
Unterbau-Eckschrank,0.11,113.30,112.80,0.40,9.00,5,11,40500,0
Küchenelement. Oberschrank,0.11,115.70,115.60,0.10,12.00,5,11,40600,0
Küchenelement. Unterschrank,0.24,112.50,113.40,-0.80,44753.00,5,11,40700,0
Sitzgarnitur,0.30,109.30,109.70,-0.40,44626.00,5,11,40800,0
Schlafzimmermöbel,0.34,113.60,113.90,-0.30,44569.00,5,11,40900,0
Essgarnitur,0.22,107.70,111.00,-3.00,44656.00,5,11,41000,0
Wohnzimmerprogramm,0.26,116.80,117.80,-0.80,44753.00,5,11,41100,0
Badezimmerblock,0.18,116.70,116.50,0.20,18.00,5,11,41500,0
Vorzimmer,0.09,105.30,107.60,-2.10,44656.00,5,11,41600,0
Kinderzimmer,0.15,109.40,107.40,44805.00,44720.00,5,11,41700,0
Kommode. Anrichte,0.07,107.80,108.70,-0.80,44662.00,5,11,41800,0
Schreibtisch,0.03,108.30,108.20,0.10,44775.00,5,11,41900,0
Matratze,0.10,105.20,113.30,-7.10,-2.70,5,11,42300,0
Gartenmöbel,0.18,107.90,114.30,-5.60,44790.00,5,11,41400,0
Luster. Hängelampe,0.03,128.60,126.90,44621.00,44643.00,5,11,42000,0
Deckenbeleuchtung,0.07,124.80,123.60,1.00,44809.00,5,11,42200,0
Vorzimmerspiegel,0.06,118.80,119.70,-0.80,44784.00,5,11,41300,0
Teppiche und andere Bodenbeläge,0.07,112.40,97.30,44696.00,44693.00,5,11,52,1
Teppich,0.07,112.40,97.30,44696.00,44693.00,5,11,42600,0
Heimtextilien,0.38,117.80,108.60,44689.00,17.00,5,12,53,3
Heimtextilien  Kategorie,0.38,117.80,108.60,44689.00,17.00,5,12,54,1
Gardinen. Store,0.16,135.50,118.70,44606.00,29.00,5,12,42800,0
Bettwäsche,0.13,107.60,102.80,44746.00,44658.00,5,12,42900,0
Steppdecke,0.03,104.50,104.90,-0.40,44685.00,5,12,43200,0
Badetuch. Handtuch,0.04,106.50,101.20,44597.00,44754.00,5,12,43100,0
Tischdecke,0.02,104.90,102.70,44563.00,44809.00,5,12,43300,0
Haushaltsgeräte,1.18,112.90,110.00,44714.00,44690.00,5,13,55,3
Elektrische und nichtelektrische Haushalts-Großgeräte,0.96,112.80,109.90,44714.00,44660.00,5,13,56,1
Kühlschrank. Standgerät,0.08,119.00,114.80,44745.00,44573.00,5,13,43400,0
Kühlschrank. Einbaugerät,0.05,120.10,116.70,44806.00,44726.00,5,13,43500,0
Gefrierschrank,0.04,110.70,107.80,44744.00,44629.00,5,13,43600,0
Kühl-. Gefrierkombination,0.07,107.40,107.80,-0.40,44688.00,5,13,44600,0
Geschirrspüler,0.12,109.60,109.00,0.60,7.00,5,13,43700,0
Waschmaschine,0.17,115.80,109.20,6.00,44633.00,5,13,44300,0
Wäschetrockner,0.05,109.70,109.40,0.30,10.00,5,13,44700,0
Elektroherd,0.19,108.80,107.20,44682.00,44657.00,5,13,43800,0
Kaminofen. Allesbrenner,0.08,111.20,111.20,0.00,44805.00,5,13,44800,0
Staubsauger,0.12,116.10,110.10,44656.00,13.00,5,13,44100,0
